Annandale, 7 10N, 58 29W, Pomeroon-Supenaam
Drill, 6 36N, 57 49W, Mahaica-Berbice
Dryshore, 7 01N, 58 30W, Pomeroon-Supenaam
Dunbarton Castle, 7 35N, 58 43W, Pomeroon-Supenaam
Dundee, 6 33N, 57 46W, Mahaica-Berbice
Dunkeld and Perth, 7 21N, 58 30W, Pomeroon-Supenaam
Dunoon, 6 26N, 58 18W, Essequibo Islands-West Demerara
Dun Robin, 6 17N, 57 27W, East Berbice-Corentyne
Durban, 6 20N, 58 42W, Cuyuni-Mazaruni
Durban Area, 6 48N, 58 08W, Demerara-Mahaica
Eagles Rust, 6 56N, 58 29W, Essequibo Islands-West Demerara
East La Penitence, 6 48N, 58 09W, Demerara-Mahaica
East Ruimveldt, 6 47N, 58 09W, Demerara-Mahaica
Ebini, 5 40N, 57 47W, Upper Demerara-Berbice
Ebini Ranch, 5 40N, 57 49W, Upper Demerara-Berbice
Eccles, 6 46N, 58 10W, Demerara-Mahaica
Edderton, 6 19N, 57 34W, Mahaica-Berbice
Edinburgh, 6 11N, 57 31W, East Berbice-Corentyne
Edinburgh, 6 52N, 58 17W, Essequibo Islands-West Demerara
Eldorado, 6 30N, 57 42W, Mahaica-Berbice
Eliza and Mary, 6 11N, 58 16W, Demerara-Mahaica
Elizabeth Ann, 6 27N, 58 18W, Demerara-Mahaica
Elizabeth Hall, 6 47N, 58 00W, Demerara-Mahaica
Enachu, 6 09N, 60 03W, Cuyuni-Mazaruni
Endeavour, 6 20N, 58 18W, Demerara-Mahaica
Endeavour, 6 44N, 58 16W, Essequibo Islands-West Demerara
Endeavour, 6 46N, 58 17W, Essequibo Islands-West Demerara
Endeavour, 6 40N, 57 55W, Mahaica-Berbice
Enmore, 6 46N, 57 59W, Demerara-Mahaica
Enterprise, 6 46N, 58 01W, Demerara-Mahaica
Enterprise, 6 55N, 58 24W, Essequibo Islands-West Demerara
Enterprise, 7 32N, 58 40W, Pomeroon-Supenaam
Epsom, 6 08N, 57 13W, East Berbice-Corentyne
Esau and Jacob, 6 28N, 57 47W, Mahaica-Berbice
Essendam, 6 05N, 57 35W, East Berbice-Corentyne
Eteringbang, 6 42N, 61 05W, Cuyuni-Mazaruni
Evergreen, 7 24N, 58 33W, Pomeroon-Supenaam
Eversham, 7 21N, 58 30W, Pomeroon-Supenaam
Expectation, 6 20N, 57 34W, Mahaica-Berbice
Experience, 6 24N, 58 18W, Essequibo Islands-West Demerara
Experiment, 6 04N, 57 35W, East Berbice-Corentyne
Experiment, 6 23N, 57 35W, Mahaica-Berbice
Fairfield, 6 38N, 57 52W, Mahaica-Berbice
Fairfield, 7 02N, 58 29W, Pomeroon-Supenaam
Fairs Rust, 5 59N, 58 17W, Upper Demerara-Berbice
Fairview, 4 39N, 58 41W, Potaro-Siparuni
Farm, 6 50N, 58 25W, Essequibo Islands-West Demerara
Fear Not, 6 49N, 58 05W, Demerara-Mahaica
Felicity, 6 32N, 57 48W, Mahaica-Berbice
Fellowship, 6 51N, 58 15W, Essequibo Islands-West Demerara
Fellowship, 6 34N, 57 47W, Mahaica-Berbice
Festival City, 6 47N, 58 08W, Demerara-Mahaica
First Savannah, 6 23N, 57 47E, Mahaica-Berbice
Flensburg, 6 34N, 58 14W, Essequibo Islands-West Demerara
Floyd Ward, 6 04N, 57 11W, East Berbice-Corentyne
Fort Canje, 6 15N, 57 31W, East Berbice-Corentyne
Fortitude, 6 33N, 57 48W, Mahaica-Berbice
Fort Nassau, 5 45N, 57 43W, Upper Demerara-Berbice
Fort Wellington, 6 24N, 57 36W, Mahaica-Berbice
Foulis, 6 46N, 58 00W, Demerara-Mahaica
Foulis, 6 31N, 57 43W, Mahaica-Berbice
Frederica Johanna, 6 38N, 57 54W, Mahaica-Berbice
Fredericksburg, 6 57N, 58 26W, Essequibo Islands-West Demerara
Free and Easy, 6 39N, 58 12W, Essequibo Islands-West Demerara
Freetown, 7 34N, 58 42W, Pomeroon-Supenaam
Friends, 6 11N, 57 33W, East Berbice-Corentyne
Friendship, 6 48N, 58 02W, Demerara-Mahaica
Friendship, 5 57N, 57 09W, East Berbice-Corentyne
Friendship, 6 12N, 57 16W, East Berbice-Corentyne
Gangaram, 6 38N, 58 12W, Demerara-Mahaica
Garraway Stream, 5 23N, 59 07W, Potaro-Siparuni
Geertruyda, 5 45N, 57 42W, Upper Demerara-Berbice
Geneve, 6 46N, 58 15W, Essequibo Islands-West Demerara
Georgetown, 6 48N, 58 10W, Demerara-Mahaica
Georgia, 6 33N, 58 15W, Essequibo Islands-West Demerara
Germania, 6 01N, 57 37W, East Berbice-Corentyne
Geruchy and Ruyters, 6 37N, 57 54W, Mahaica-Berbice
Glasgow, 6 12N, 57 31W, East Berbice-Corentyne
Glastulich, 6 03N, 57 35W, East Berbice-Corentyne
Glaziers Lust, 6 39N, 57 52W, Mahaica-Berbice
Godt Zeit Alles, 5 32N, 57 56W, Upper Demerara-Berbice
Goed Fortuin, 6 47N, 58 12W, Essequibo Islands-West Demerara
Goedverwagting, 6 49N, 58 06W, Demerara-Mahaica
Goedverwagting, 6 42N, 58 12W, Essequibo Islands-West Demerara
Golden Fleece, 6 30N, 57 41W, Mahaica-Berbice
Golden Fleece, 7 09N, 58 29W, Pomeroon-Supenaam
Golden Grove, 6 42N, 58 11W, Demerara-Mahaica
Golden Grove, 6 45N, 57 59W, Demerara-Mahaica
Golden Grove, 6 25N, 57 37W, Mahaica-Berbice
Gold Hill, 6 05N, 58 18W, Upper Demerara-Berbice
Goldstone Hall, 6 13N, 57 28W, East Berbice-Corentyne
Good Banana Land, 6 14N, 57 29W, East Berbice-Corentyne
Good Faith, 6 33N, 57 46W, Mahaica-Berbice
Good Hope, 6 41N, 57 56W, Demerara-Mahaica
Good Hope, 6 48N, 58 03W, Demerara-Mahaica
Good Hope, 6 06N, 57 12W, East Berbice-Corentyne
Good Hope, 6 25N, 58 18W, Essequibo Islands-West Demerara
Good Hope, 6 59N, 58 30W, Pomeroon-Supenaam
Good Hope, 3 52N, 59 35W, Upper Takutu-Upper Essequibo
Good Intent, 6 42N, 57 55W, Demerara-Mahaica
Good Intent, 6 43N, 58 12W, Essequibo Islands-West Demerara
Good Intent, 7 00N, 58 30W, Pomeroon-Supenaam
Good Success, 6 41N, 58 11W, Demerara-Mahaica
Good Success, 6 57N, 58 28W, Essequibo Islands-West Demerara
Great Falls, 5 42N, 61 05W, Cuyuni-Mazaruni
Great Falls, 6 43N, 57 57W, Demerara-Mahaica
Greenwich Park, 6 52N, 58 23W, Essequibo Islands-West Demerara
Groenveldt, 6 52N, 58 17W, Essequibo Islands-West Demerara
Grove, 6 42N, 57 56W, Demerara-Mahaica
Grove, 6 51N, 58 26W, Essequibo Islands-West Demerara
Grove, 6 34N, 57 47W, Mahaica-Berbice
Gunns Strip, 1 45N, 58 35W, Upper Takutu-Upper Essequibo
Guyhoc Park, 6 47N, 58 08W, Demerara-Mahaica
Hackney, 7 33N, 58 42W, Pomeroon-Supenaam
Hague, 6 52N, 58 16W, Essequibo Islands-West Demerara
Half Mile, 6 01N, 58 19W, Upper Demerara-Berbice
Hampshire, 6 15N, 57 22W, East Berbice-Corentyne
Hampton Court, 7 19N, 58 29W, Pomeroon-Supenaam
Hand en Veldt, 6 41N, 57 56W, Demerara-Mahaica
Handsden, 6 33N, 57 54W, Demerara-Mahaica
Harlem, 6 50N, 58 13W, Essequibo Islands-West Demerara
Harmony Hall, 6 39N, 57 52W, Mahaica-Berbice
Harriet, 5 55N, 57 09W, East Berbice-Corentyne
Haruru, 6 45N, 57 59W, Demerara-Mahaica
Haswell, 6 14N, 57 20W, East Berbice-Corentyne
Haversham, 6 08N, 57 13W, East Berbice-Corentyne
Heathfield, 7 34N, 58 42W, Pomeroon-Supenaam
Helena No. 1, 6 41N, 57 55W, Demerara-Mahaica
Helena No. 2, 6 41N, 57 56W, Demerara-Mahaica
Helvetia, 5 47N, 57 43W, Upper Demerara-Berbice
Henrietta, 6 54N, 58 27W, Essequibo Islands-West Demerara
Henrietta, 7 16N, 58 29W, Pomeroon-Supenaam
Hermitage, 6 39N, 58 12W, Essequibo Islands-West Demerara
Herstelling, 6 45N, 58 11W, Demerara-Mahaica
Herstelling, 6 05N, 57 37W, Mahaica-Berbice
Hiawa, 3 23N, 59 38W, Upper Takutu-Upper Essequibo
Hibernia, 7 02N, 58 30W, Pomeroon-Supenaam
Highbury, 6 10N, 57 37W, East Berbice-Corentyne
Hitia, 5 48N, 57 45W, Upper Demerara-Berbice
Hittia Settlement, 7 11N, 58 29W, Pomeroon-Supenaam
Hofwerk, 5 46N, 57 44W, Upper Demerara-Berbice
Hogstraten, 6 13N, 57 17W, East Berbice-Corentyne
Hong Kong, 5 56N, 57 09W, East Berbice-Corentyne
Hoogstraten, 5 42N, 57 47W, Upper Demerara-Berbice
Hoorubea, 6 35N, 58 08W, Mahaica-Berbice
Hope, 6 43N, 57 58W, Demerara-Mahaica
Hope, 6 45N, 58 00W, Demerara-Mahaica
Hope, 6 22N, 57 35W, Mahaica-Berbice
Hope, 6 24N, 58 18W, Essequibo Islands-West Demerara
Hope, 5 54N, 58 21W, Upper Demerara-Berbice
Hopetown, 6 08N, 57 37W, East Berbice-Corentyne
Hopetown, 6 32N, 58 17W, Essequibo Islands-West Demerara
Hopetown, 6 24N, 57 36W, Mahaica-Berbice
Hosororo, 8 10N, 59 48W, Barima-Waini
Hotakwai, 8 01N, 59 49W, Barima-Waini
Houston, 6 47N, 58 10W, Demerara-Mahaica
Hubu, 6 49N, 58 28W, Essequibo Islands-West Demerara
Huist T’Dieren, 7 03N, 58 29W, Pomeroon-Supenaam
Huntley, 6 34N, 57 47W, Mahaica-Berbice
Hururu, 5 22N, 58 00W, Upper Demerara-Berbice
Hururu, 5 47N, 58 23W, Upper Demerara-Berbice
Hyde Park, 6 51N, 58 26W, Essequibo Islands-West Demerara
Hyde Park, 6 30N, 57 48W, Mahaica-Berbice
Hydronie, 6 51N, 58 25W, Essequibo Islands-West Demerara
Imbaimadai, 5 42N, 60 18W, Cuyuni-Mazaruni
Industrial Estate, 6 48N, 58 10W, Demerara-Mahaica
Industry, 6 49N, 58 06W, Demerara-Mahaica
Industry, 6 17N, 57 26W, East Berbice-Corentyne
Inverness, 6 20N, 57 34W, Mahaica-Berbice
Ithaca, 6 14N, 57 33W, Mahaica-Berbice
Ituni, 5 32N, 57 56W, Upper Demerara-Berbice
Ituni, 5 32N, 58 15W, Upper Demerara-Berbice
Jacklow, 7 20N, 58 38W, Pomeroon-Supenaam
Jackson, 7 28N, 58 37W, Pomeroon-Supenaam
Jackson Creek, 5 48N, 57 10W, East Berbice-Corentyne
Jacoba, 6 27N, 57 39W, Mahaica-Berbice
Jacoba Constantia, 6 46N, 58 16W, Essequibo Islands-West Demerara
Jagt Lust, 5 37N, 57 51W, Upper Demerara-Berbice
Jalousie, 6 20N, 58 18W, Demerara-Mahaica
Java, 6 07N, 57 12W, East Berbice-Corentyne
Java, 6 46N, 58 14W, Essequibo Islands-West Demerara
Jib, 6 04N, 57 16W, East Berbice-Corentyne
Joe Hook, 6 32N, 57 56W, Demerara-Mahaica
Johanna, 6 28N, 57 48W, Mahaica-Berbice
Johanna, 5 46N, 57 43W, Upper Demerara-Berbice
Johanna Cecelia, 7 08N, 58 29W, Pomeroon-Supenaam
Johanna Cornelia, 6 45N, 57 59W, Demerara-Mahaica
John, 6 14N, 57 20W, East Berbice-Corentyne
Joppa, 6 06N, 57 12W, East Berbice-Corentyne
Joyce Phillips, 6 39N, 57 55W, Demerara-Mahaica
Juliana, 5 41N, 57 47W, Upper Demerara-Berbice
Kabakaburi, 7 15N, 58 43W, Pomeroon-Supenaam
Kaibarupai, 5 03N, 59 58W, Potaro-Siparuni
Kaicumbay, 3 33N, 59 25W, Upper Takutu-Upper Essequibo
Kaieteur, 5 09N, 59 29W, Potaro-Siparuni
Kairimap, 6 10N, 58 14W, Demerara-Mahaica
Kakatiri, 6 49N, 58 27W, Essequibo Islands-West Demerara
Kamarang, 5 52N, 60 37W, Cuyuni-Mazaruni
Kanapang, 4 32N, 60 08W, Potaro-Siparuni
Kanashen, 6 25N, 58 39W, Cuyuni-Mazaruni
Kara Kara, 6 01N, 58 17W, Upper Demerara-Berbice
Karanambo, 3 45N, 59 18W, Upper Takutu-Upper Essequibo
Karaudanawa, 2 24N, 59 28W, Upper Takutu-Upper Essequibo
Karawab, 7 15N, 58 50W, Pomeroon-Supenaam
Kariakau, 7 22N, 59 42W, Barima-Waini
Karisparu, 4 52N, 59 29W, Potaro-Siparuni
Karrau, 4 40N, 59 50W, Potaro-Siparuni
Katoonarib, 2 46N, 59 36W, Upper Takutu-Upper Essequibo
Kendalls, 6 17N, 57 27W, East Berbice-Corentyne
Kibilibiri, 5 25N, 57 59W, Upper Demerara-Berbice
Kilcoy, 6 16N, 57 23W, East Berbice-Corentyne
Kildonan, 6 12N, 57 16W, East Berbice-Corentyne
Kilmarnock, 6 11N, 57 15W, East Berbice-Corentyne
Kiltairn, 6 08N, 57 13W, East Berbice-Corentyne
Kimbia, 5 42N, 57 46W, Upper Demerara-Berbice
Kingelly, 6 27N, 57 39W, Mahaica-Berbice
Kingston, 6 49N, 58 10W, Demerara-Mahaica
Kingston, 6 56N, 58 24W, Essequibo Islands-West Demerara
Kitty, 6 49N, 58 08W, Demerara-Mahaica
Kitty, 6 08N, 57 37W, East Berbice-Corentyne
Kitty, 7 32N, 58 40W, Pomeroon-Supenaam
Klien Pouderoyen, 6 48N, 58 12W, Essequibo Islands-West Demerara
Klyzenaar, 6 38N, 57 54W, Mahaica-Berbice
Kokatara, 7 20N, 59 34W, Barima-Waini
Konashen, 1 34N, 58 41W, Upper Takutu-Upper Essequibo
Konawaruk, 5 16N, 59 00W, Potaro-Siparuni
Kopinang, 4 56N, 59 48W, Potaro-Siparuni
Kortberaad, 6 10N, 57 34W, East Berbice-Corentyne
Krapa, 6 32N, 57 55N, Mahaica-Berbice
Kularu, 5 57N, 58 20W, Upper Demerara-Berbice
Kumaka, 7 39N, 58 57W, Barima-Waini
Kumaka, 8 12N, 59 48W, Barima-Waini
Kumaka, 5 35N, 57 56W, Upper Demerara-Berbice
Kurikebaru, 5 54N, 60 35W, Cuyuni-Mazaruni
Kurukabaru, 4 45N, 59 54W, Potaro-Siparuni
Kuru Kuru, 6 32N, 58 12W, Demerara-Mahaica
Kuru Kururu, 6 33N, 58 12W, Demerara-Mahaica
Kurupukari, 4 40N, 58 40W, Potaro-Siparuni
Kurupung, 6 14N, 60 10W, Cuyuni-Mazaruni
Kuyuwini, 2 06N, 59 15W, Upper Takutu-Upper Essequibo
Kwabanna, 7 33N, 59 09W, Barima-Waini
Kwaimatta, 3 49N, 59 20W, Upper Takutu-Upper Essequibo
Kwakwani, 5 16N, 58 04W, Upper Demerara-Berbice
Kwatamang, 3 55N, 59 07W, Upper Takutu-Upper Essequibo
Kwatata, 3 38N, 59 30W, Upper Takutu-Upper Essequibo
La Bagatelle, 6 55N, 58 24W, Essequibo Islands-West Demerara
La Belle Alliance, 7 17N, 58 29W, Pomeroon-Supenaam
La Bonne Intention, 6 48N, 58 04W, Demerara-Mahaica
